site,location,ab,elevation,year,age,ageclassn,ageclass,annual,perennial,total,native,nonnative,wetland,conserve,nrich,nnrich,trich,cactus,fern,forb,grass,tree,shrub,subshrub,vine,crust
CWCBL2,CWC,below,3630,2022,6,6,6,10.71604475,60.27664237,73.0019455,42.05238119,30.94956432,3.12,2.02,4,3,7,0,0,1.24,30.08,0,46.02,0.6,2.78,2.34375
CWCBL3,CWC,below,3580,2022,1,1,1,18.62684608,7.095325489,29.21470521,4.453630451,24.76107476,3.541666667,1.391304348,22,4,26,0,0,8.15,9.31,2.52,35.88,2.02,0,0
CWGBL1,CWG,below,3665,2022,21,21,21 to 25,5.827429183,58.27260345,65.19267561,51.83447984,13.35819577,2.888888889,3.056603774,28,2,30,0,0,1.06,18.05,0,70.9,0.61,0,0
CWGBL2,CWG,below,3610,2022,2,2,2,11.93802806,49.03762516,63.21403349,49.66410108,13.54993241,2.958333333,2.6875,13,2,15,0,0,2.32,10.6,24.93,15.87,0.99,0,0
CWGBL3,CWG,below,3570,2022,1,1,1,51.58001159,20.49370676,81.74497052,12.77369541,68.97127512,1.93442623,1.508196721,17,3,20,0,0,5.18,14.33,5.36,50.03,0,0,0
ERAL1,ER,above,3710,2023,50,50,> 50,17.40774846,33.60976267,54.28146396,30.49672736,23.78473661,3.0625,2.3125,13,2,15,0,0,15.61,8.02,2.27,15.31,16.11,0,0
ERAL2,ER,above,3705,2023,40,40,40,8.552631579,51.22129752,61.37754752,51.22129752,10.15625,2.966666667,3.533333333,12,1,13,0,0,4.17,2.04,7.51,44.17,0.28,0,0
ERBL1,ER,below,3685,2023,24,21,21 to 25,2.080200501,50.77145035,53.24168844,46.74252323,6.499165215,2.535714286,2.571428571,11,2,13,0,0,4.92,12.46,13.55,23.91,0.19,6.88,0
ERBL2,ER,below,3665,2023,22,21,21 to 25,13.89122839,68.46224555,84.95807927,68.46224555,16.49583372,2.848484848,2.242424242,8,2,10,0,0,19.63,21.06,5.67,30.28,1.21,1.05,0
EXAL1,EX,above,3750,2023,50,50,> 50,2.115192888,80.28606998,82.79786153,80.28606998,2.511791554,2.896551724,2.890410959,19,1,20,0,0,16.41,12.18,27.48,27.66,0.49,0,0
EXAL2,EX,above,3730,2023,50,50,> 50,7.519760146,73.06903148,81.99874665,73.23350516,8.76524149,2.643678161,2.963855422,17,3,20,0,0,3.09,3.18,0,55.46,1.16,0,0
EXBL1,EX,below,3670,2023,22,21,21 to 25,11.68252997,35.25106635,49.12407069,32.52759755,16.59647314,2.84,2.56,17,1,18,0,0,1.89,17.24,0,22.96,0.47,0,7.8125
EXBL2,EX,below,3605,2023,3,3,3 to 4,7.280612682,49.79993361,58.44566117,35.56559165,22.88006952,2.923076923,2.08974359,18,5,23,0,0,2.81,33.95,0,32.06,2.62,0,0
FCAL1,FC,above,3715,2022,50,50,> 50,12.25923479,9.508722876,24.06656418,10.13132937,13.93523482,3.90625,2.483870968,19,9,28,0.2,0,6.49,5.57,0,10.85,0,0,38.125
FCAL2,FC,above,3710,2022,50,50,> 50,5.76081776,22.54671997,29.38769106,13.48856402,15.89912705,3.172413793,1.965517241,14,6,20,0,0,1.98,8.79,40.75,7.52,0.87,0,38.28125
FCBL1,FC,below,3645,2022,11,11,11 to 12,1.514127899,44.48173502,46.2797619,42.45657782,3.823184086,2.857142857,2.464285714,14,4,18,0,0,10.47,16.76,20.81,12.62,2.36,18.63,9.53125
FCBL2,FC,below,3550,2022,2,2,2,0.87427872,25.46926066,26.50746664,2.090929962,24.41653668,2.157894737,1.368421053,5,3,8,0,0,28.08,3.11,3.38,1.61,0.79,0,0
ICAL1,IC,above,3730,2022,50,50,> 50,2.505720824,38.02148033,40.99702381,38.02148033,0,3.375,3.625,8,4,12,0.15,0,0.59,21.9,4.83,8.19,0.46,10.38,2.03125
ICAL2,IC,above,3720,2022,50,50,> 50,0,83.14492947,83.14492947,83.14492947,2.975543478,3.153846154,3.657142857,11,2,13,0,0,1.22,22.35,16.85,13.89,6.47,0,0
ICBL1,IC,below,3665,2022,21,22,21 to 25,10.87245602,30.97689953,43.88794106,14.13706292,29.75087814,3,2.233333333,11,6,17,0,0,18.98,26.58,0,5.15,0,0,7.1875
ICBL2,IC,below,3645,2022,11,11,11 to 12,14.12066752,62.12367366,78.89196634,53.95622116,24.93574518,2.6,2.74,8,6,14,0,0,10.01,40.34,6.57,12.51,0.56,12.01,0
ICBL3,IC,below,3550,2022,1,2,2,17.23122108,30.24229233,50.70436736,10.76354871,39.94081864,2.865384615,1.865384615,7,6,13,0,0,10.02,5.56,0,19.04,0,0,0
KAL1,K,above,3705,2023,40,50,> 50,10.34873789,46.2264376,58.51556385,44.66054601,13.85501784,2.984126984,2.859649123,12,2,14,0,0,4.24,3.73,3.66,18.91,0.35,0,0
KAL2,K,above,3695,2023,25,50,> 50,3.962370872,77.37376868,82.07908409,71.47195944,10.60712465,2.472727273,2.37037037,8,2,10,0,0,0.96,11.53,19.96,13.34,0.21,0,0
KBL1,K,below,3665,2023,22,21,21 to 25,9.108595774,18.33477837,29.15123585,21.8690139,7.28222195,3.78,2.333333333,15,2,17,0,0,0.22,28.46,6.57,5.51,2.22,0,31.09375
KBL2,K,below,3620,2023,4,3,3 to 4,10.081475,30.44299009,42.41474165,23.9942838,18.42045785,3.25,2.636363636,11,2,13,0,0,13.62,34.26,0,18.94,2.16,0,15.625
KBL3,K,below,3550,2023,2,2,2 to 3,4.415706982,42.85881626,48.1024683,22.52769989,25.57476841,2.463414634,2.43902439,13,2,15,0,0,20.5,13.26,0,9.96,0.4,0,0
LCAL1,LC,above,3730,2022,50,50,> 50,9.179463446,39.70731574,50.60792858,28.86307991,21.74484868,3.673469388,2.136363636,12,9,21,0,0,0.67,5.53,0,69.32,0.16,0,0
LCAL2,LC,above,3715,2022,50,50,> 50,4.491454927,20.7127686,26.04637133,24.30218528,1.744186047,2.84,3.44,17,2,19,0,0,2.45,15.1,0,29.79,1.37,0,17.34375
LCBL1,LC,below,3670,2022,22,21,21 to 25,9.59237509,25.71537999,37.10632541,23.82124328,13.28508213,3.59375,2.25,9,4,13,0,0,0,8.33,34.78,44.39,6.99,0,0.15625
LCBL2,LC,below,3600,2022,2,2,2,3.964402618,17.7529824,22.46071051,20.05051743,2.410193081,3.023255814,3.214285714,13,10,23,0,0,13.45,33.73,18.41,15.89,2.9,0,0
LCBL3,LC,below,3575,2022,1,2,2,6.040721434,23.67997782,30.85333453,20.7392727,10.11406183,3.060606061,2.696969697,13,8,21,0,0,3.73,3.72,20.72,32.02,0,0,0
MCAL1,MC,above,3790,2022,50,50,> 50,0.134952767,32.55893925,32.71919566,13.35037096,19.36882471,3,2.4375,6,3,9,0,0,4.27,16.44,0,11.99,0.16,0,0
MCAL2,MC,above,3750,2022,50,50,> 50,3.503761007,20.17515447,24.33587066,21.94457033,2.39130033,3.333333333,2.705882353,13,5,18,0,7.17,7.94,24.05,2.46,19.78,2.41,0,0
MCBL1,MC,below,3640,2022,11,3,3 to 4,0.385579333,34.62980661,35.08768207,21.89841451,13.18926756,2.75862069,2.333333333,7,5,12,0,0.19,5.82,23.61,8.28,17.27,5.28,0,0.15625
MCBL2,MC,below,3600,2022,2,2,2,0.956937799,24.47064971,25.60701335,19.22635133,6.380662021,2.7,3,13,5,18,0,0,6.71,18.87,11.75,16.18,3.37,1.16,9.84375
MCBL3,MC,below,3540,2022,1,1,11 to 12,11.51725859,12.69976587,26.37651045,9.368152921,17.00835753,2.279069767,2.860465116,7,6,13,0,0,8.43,34.83,0.17,14.9,4.62,8.03,0
RBL2,R,below,3640,2022,11,11,11 to 12,0.652822729,33.1573954,33.93262239,11.64859479,22.28402761,3.52173913,1.956521739,15,7,22,0,0,10.12,8.64,13.05,31.02,7.97,0,10.46875
RBL3,R,below,3605,2022,2,2,2,2.402957312,26.13242557,28.98593738,17.63306091,11.35287646,2.588235294,2.647058824,9,5,14,0,0,4.16,1.95,29.41,39.95,0.15,1.77,0
RFCAL1,RFC,above,3715,2022,50,50,> 50,5.979325721,25.26718811,32.3676374,25.26718811,7.100449294,3.466666667,3.153846154,9,8,17,0,0.17,13.06,26.73,1.48,27.73,0,0,21.875
RFCAL2,RFC,above,3710,2022,50,50,> 50,5.225283049,18.05743243,24.26245605,17.16457529,7.097880764,3.55,2.6,12,7,19,0,0,3.15,22.31,3.79,31.64,1.41,0,10.46875
RFCBL1,RFC,below,3655,2022,12,11,11 to 12,4.715967997,47.95183971,53.55205171,35.36649366,18.18555805,2.738095238,2.512195122,15,1,16,0,0,2.9,27.98,0,9.46,4.65,0,0.9375
RFCBL2,RFC,below,3615,2022,3,3,3 to 4,5.480223839,50.51268459,57.0204504,54.51222671,2.508223684,2.893617021,4.042553191,3,3,6,0,0,0.4,10.47,0,16.7,3.01,0,0
RFCBL3,RFC,below,3565,2022,1,1,1,5.807106582,43.39868696,50.29462602,33.23465447,17.05997155,2.227272727,2.136363636,7,3,10,0,0,2.99,25.7,0,44.17,0.15,0,0
SBL1,S,below,3685,2023,24,21,21 to 25,0.920230702,52.75279962,53.84557358,52.6039901,1.241583482,2.714285714,2.642857143,13,4,17,0,0,2.02,12.32,1.78,29.02,0.16,0,0
SBL2,S,below,3625,2023,6,6,6,2.705251995,15.83661799,19.04910473,18.18886,0.860244728,3.4375,3.741935484,7,2,9,0,0,0.58,10.65,0,74.32,6.72,0.3,12.96875
SBL3,S,below,3560,2023,2,2,2,5.393185775,53.50486442,59.90927253,54.25926938,5.650003148,2.568627451,2.745098039,11,2,13,0,0,2.77,29.43,24.36,28.29,0,0,0
TAL1,T,above,3725,2023,50,50,> 50,10.22986812,39.36443629,51.51240467,38.51216356,13.00024112,2.973684211,2.588235294,11,2,13,0,0,0.35,18.9,21.66,35.8,0.37,0,0
TAL2,T,above,3695,2023,50,50,> 50,7.409350175,31.61999678,40.41860012,25.77179031,14.6468098,3.2,1.862068966,13,2,15,0,0,1.22,2.76,1.14,34.81,0.17,0,3.28125
TBL1,T,below,3670,2023,22,21,21 to 25,1.693692655,61.96365486,63.97491489,62.11990486,1.855010028,2.571428571,3.19047619,10,2,12,0,0,4.71,10.4,9.44,23.55,0,0,0
TBL2,T,below,3630,2023,6,6,6,9.977748787,27.73106474,39.57964142,28.63862469,10.94101673,3.571428571,2.435897436,10,4,14,0,0,2.13,40.54,0,0,0,0,10
TBL3,T,below,3560,2023,2,2,2,11.54585728,17.9495113,31.66021682,22.27549813,9.384718691,3.64,2.25,11,4,15,0,0,0,25.32,9.89,27.79,11.23,0,0
WAL1,W,above,3830,2023,50,50,> 50,2.364266796,53.04074084,55.84830766,52.76984036,3.078467304,2.943396226,3.58490566,21,3,24,0,0,13.21,5.4,2.73,18.27,0.33,0,0.15625
WAL2,W,above,3730,2023,50,50,> 50,0.382665071,67.96682327,68.42123804,68.11217211,0.309065934,2.267857143,4.148148148,20,1,21,0,0,0.4,6.97,0,31.23,0,0,0
WBL1,W,below,3670,2023,22,21,21 to 25,1.055211926,72.25796328,73.51102744,58.92529029,14.58573716,2.464285714,3.285714286,13,3,16,0,0,24.28,15.83,11.77,14.8,0.19,0,0
WBL2,W,below,3625,2023,6,6,6,8.347031412,52.7140841,62.6261839,48.32354708,14.30263683,3.068181818,3.727272727,12,4,16,0,0,6.05,75.69,0,0,0,0,2.34375
WBL3,W,below,3595,2023,3,3,3 to 4,8.888321509,26.59324115,37.14812294,23.00068076,14.14744218,3.544117647,2.382352941,20,5,25,0,0,27.68,8.59,0,0.21,2.47,0,0
